1,24576,25063,487,198
2,48128,50126,1998,415
3,72704,75189,2485,341
4,96256,100250,3994,414
5,120832,125310,4478,370
6,144896,150369,5473,377
7,169472,175425,5953,351
8,193024,200479,7455,386
9,217344,225531,8187,376
10,241664,250579,8915,368
11,265472,275624,10152,382
12,289792,300666,10874,375
13,314368,325704,11336,360
14,337152,350737,13585,402
15,363520,375766,12246,336
16,385280,400790,15510,402
17,410880,425808,14928,363
18,434432,450821,16389,377
19,458496,475828,17332,378
20,482816,500829,18013,373
21,507136,525823,18687,368
22,530432,550810,20378,384
23,555264,575790,20526,369
24,579072,600763,21691,374
25,602880,625727,22847,378
26,627456,650683,23227,370
27,651008,675631,24623,378
28,675328,700570,25242,373
29,699392,725500,26108,373
30,723200,750420,27220,376
31,747264,775330,28066,375
32,771584,800230,28646,371
33,794880,825119,30239,380
34,819968,849998,30030,366
35,842496,874865,32369,384
36,867840,899721,31881,367
37,890880,924565,33685,378
38,915200,949397,34197,373
39,939008,974217,35209,374
40,963072,999023,35951,373
41,986624,1023817,37193,376
42,1010944,1048597,37653,372
43,1034496,1073363,38867,375
44,1058560,1098115,39555,373
45,1082368,1122853,40485,374
46,1106176,1147576,41400,374
47,1129984,1172284,42300,374
48,1153792,1196976,43184,374
49,1177600,1221653,44053,374
50,1201152,1246313,45161,375
51,1225472,1270957,45485,371
52,1248512,1295585,47073,377
53,1273088,1320195,47107,370
54,1295872,1344788,48916,377
55,1320192,1369364,49172,372
56,1343488,1393921,50433,375
57,1367296,1418460,51164,374
58,1391360,1442981,51621,371
59,1414144,1467482,53338,377
60,1438720,1491964,53244,370
61,1461248,1516426,55178,377
62,1485824,1540869,55045,370
63,1508608,1565291,56683,375
64,1532416,1589693,57277,373
65,1555968,1614074,58106,373
66,1579776,1638433,58657,371
67,1602560,1662771,60211,375
68,1626624,1687087,60463,371
69,1649408,1711381,61973,375
70,1673472,1735653,62181,371
71,1696512,1759901,63389,373
72,1719808,1784127,64319,373
73,1743616,1808329,64713,371
74,1766144,1832507,66363,375
75,1790464,1856661,66197,369
76,1812480,1880791,68311,376
77,1836800,1904895,68095,370
78,1859584,1928975,69391,373
79,1882624,1953030,70406,373
80,1906176,1977059,70883,371
81,1928960,2001062,72102,373
82,1952512,2025038,72526,371
83,1975296,2048988,73692,373
84,1998592,2072911,74319,371
85,2020864,2096807,75943,375
86,2045440,2120675,75235,367
87,2066432,2144515,78083,377
88,2091776,2168327,76551,365
89,2112256,2192110,79854,378
90,2137088,2215865,78777,368
91,2159104,2239591,80487,372
92,2181632,2263287,81655,374
93,2205696,2286953,81257,368
94,2226944,2310589,83645,375
95,2251008,2334195,83187,369
96,2273024,2357770,84746,372
97,2296064,2381314,85250,371
98,2318592,2404827,86235,371
99,2341376,2428309,86933,371
100,2363648,2451758,88110,372
101,2386944,2475175,88231,369
102,2408448,2498559,90111,374
103,2432256,2521911,89655,368
104,2453504,2545230,91726,373
105,2477056,2568515,91459,369
106,2498816,2591766,92950,371
107,2521088,2614983,93895,372
108,2544384,2638166,93782,368
109,2565376,2661314,95938,373
110,2589184,2684427,95243,367
111,2610176,2707505,97329,372
112,2632960,2730547,97587,370
113,2655488,2753554,98066,369
114,2676736,2776524,99788,372
115,2700032,2799458,99426,368
116,2721024,2822354,101330,372
117,2743808,2845214,101406,369
118,2765824,2868037,102213,369
119,2787328,2890821,103493,371
120,2809856,2913568,103712,369
121,2831360,2936276,104916,370
122,2852864,2958946,106082,371
123,2876160,2981577,105417,366
124,2896384,3004168,107784,372
125,2919168,3026721,107553,368
126,2940416,3049233,108817,370
127,2961920,3071705,109785,370
128,2984192,3094137,109945,368
129,3005440,3116528,111088,369
130,3027200,3138879,111679,368
131,3048448,3161188,112740,369
132,3070208,3183455,113247,368
133,3091712,3205681,113969,368
134,3112704,3227864,115160,369
135,3134720,3250005,115285,367
136,3155712,3272104,116392,368
137,3176704,3294159,117455,369
138,3198720,3316171,117451,367
139,3219200,3338139,118939,369
140,3240960,3360064,119104,367
141,3261696,3381944,120248,368
142,3282944,3403780,120836,368
143,3303936,3425572,121636,368
144,3324928,3447318,122390,368
145,3345920,3469019,123099,367
146,3367168,3490674,123506,366
147,3387136,3512284,125148,369
148,3409152,3533847,124695,365
149,3428864,3555364,126500,368
150,3450112,3576834,126722,367
151,3471360,3598257,126897,365
152,3490816,3619633,128817,369
153,3512320,3640961,128641,366
154,3532544,3662242,129698,367
155,3553024,3683474,130450,367
156,3573760,3704658,130898,366
157,3593984,3725793,131809,366
158,3614464,3746879,132415,366
159,3634432,3767916,133484,367
160,3655424,3788904,133480,365
161,3674880,3809842,134962,367
162,3695616,3830729,135113,365
163,3715584,3851567,135983,365
164,3735808,3872354,136546,365
165,3755264,3893090,137826,367
166,3776256,3913774,137518,364
167,3795200,3934408,139208,366
168,3815936,3954989,139053,364
169,3835136,3975519,140383,366
170,3855616,3995997,140381,364
171,3874048,4016422,142374,367
172,3895808,4036794,140986,361
173,3913472,4057113,143641,367
174,3934208,4077379,143171,363
175,3953408,4097591,144183,364
176,3972608,4117750,145142,365
177,3992832,4137854,145022,363
178,4011520,4157904,146384,364
179,4031232,4177900,146668,363
180,4050432,4197840,147408,363
181,4069376,4217726,148350,364
182,4089088,4237556,148468,363
183,4107776,4257330,149554,364
184,4126976,4277049,150073,363
185,4146432,4296711,150279,362
186,4164608,4316317,151709,364
187,4184064,4335866,151802,362
188,4202752,4355358,152606,363
189,4221440,4374794,153354,363
190,4240640,4394171,153531,362
191,4258816,4413491,154675,363
192,4277504,4432753,155249,362
193,4296704,4451957,155253,361
194,4314368,4471102,156734,363
195,4333824,4490189,156365,360
196,4350976,4509216,158240,363
197,4370688,4528185,157497,360
198,4387840,4547094,159254,362
199,4407296,4565943,158647,359
