Index,Date, Dcount ,Close, Delta 
HSI,39822,6,1.44E+04,-2.70E-03
SSE,39825,6,1.90E+03,-2.40E-03
AUX,39822,6,8.57E+02,3.00E-03
AUX,39825,7,8.23E+02,-3.88E-02
HSI,39825,7,1.40E+04,-2.83E-02
GSPC,39825,7,8.70E+02,-2.26E-02
IXIC,39825,7,1.54E+03,-2.09E-02
SSE,39826,7,1.86E+03,-1.95E-02
CAC,39825,7,3.25E+03,-1.62E-02
DJI,39825,7,8.47E+03,-1.46E-02
DAX,39825,7,4.72E+03,-1.34E-02
FTSE,39825,7,4.43E+03,-5.00E-03
N225,39827,7,8.44E+03,2.90E-03
N225,39828,8,8.02E+03,-4.92E-02
HSI,39826,8,1.37E+04,-2.17E-02
DAX,39826,8,4.64E+03,-1.75E-02
CAC,39826,8,3.20E+03,-1.49E-02
FTSE,39826,8,4.40E+03,-6.10E-03
DJI,39826,8,8.45E+03,-3.00E-03
AUX,39826,8,8.21E+02,-2.40E-03
GSPC,39826,8,8.72E+02,1.80E-03
IXIC,39826,8,1.55E+03,5.00E-03
SSE,39827,8,1.93E+03,3.52E-02
FTSE,39827,9,4.18E+03,-4.97E-02
DAX,39827,9,4.42E+03,-4.63E-02
CAC,39827,9,3.05E+03,-4.56E-02
IXIC,39827,9,1.49E+03,-3.67E-02
GSPC,39827,9,8.43E+02,-3.35E-02
DJI,39827,9,8.20E+03,-2.94E-02
AUX,39827,9,8.10E+02,-1.36E-02
SSE,39828,9,1.92E+03,-4.50E-03
HSI,39827,9,1.37E+04,2.70E-03
N225,39829,9,8.23E+03,2.58E-02
HSI,39828,10,1.32E+04,-3.37E-02
DAX,39828,10,4.34E+03,-1.94E-02
CAC,39828,10,3.00E+03,-1.84E-02
FTSE,39828,10,4.12E+03,-1.42E-02
GSPC,39828,10,8.44E+02,1.30E-03
DJI,39828,10,8.21E+03,1.50E-03
N225,39832,10,8.26E+03,3.20E-03
AUX,39828,10,8.13E+02,3.50E-03
IXIC,39828,10,1.51E+03,1.49E-02
SSE,39829,10,1.95E+03,1.78E-02
N225,39833,11,8.07E+03,-2.31E-02
HSI,39829,11,1.33E+04,9.00E-04
FTSE,39829,11,4.15E+03,6.30E-03
DAX,39829,11,4.37E+03,6.80E-03
CAC,39829,11,3.02E+03,7.00E-03
GSPC,39829,11,8.50E+02,7.60E-03
DJI,39829,11,8.28E+03,8.40E-03
IXIC,39829,11,1.53E+03,1.16E-02
SSE,39832,11,1.99E+03,1.65E-02
AUX,39829,11,8.39E+02,3.25E-02
IXIC,39833,12,1.44E+03,-5.78E-02
GSPC,39833,12,8.05E+02,-5.28E-02
DJI,39833,12,7.95E+03,-4.01E-02
N225,39834,12,7.90E+03,-2.04E-02
DAX,39832,12,4.32E+03,-1.15E-02
FTSE,39832,12,4.11E+03,-9.30E-03
CAC,39832,12,2.99E+03,-9.00E-03
AUX,39832,12,8.36E+02,-3.90E-03
SSE,39833,12,1.99E+03,3.70E-03
HSI,39832,12,1.33E+04,6.40E-03
HSI,39833,13,1.30E+04,-2.85E-02
CAC,39833,13,2.93E+03,-2.15E-02
DAX,39833,13,4.24E+03,-1.77E-02
SSE,39834,13,1.99E+03,-4.60E-03
FTSE,39833,13,4.09E+03,-4.20E-03
N225,39835,13,8.05E+03,1.90E-02
AUX,39833,13,8.53E+02,1.98E-02
DJI,39834,13,8.23E+03,3.51E-02
GSPC,39834,13,8.40E+02,4.35E-02
IXIC,39834,13,1.51E+03,4.60E-02
N225,39836,14,7.75E+03,-3.81E-02
HSI,39834,14,1.26E+04,-2.90E-02
IXIC,39835,14,1.47E+03,-2.76E-02
GSPC,39835,14,8.28E+02,-1.52E-02
DJI,39835,14,8.12E+03,-1.28E-02
FTSE,39834,14,4.06E+03,-7.70E-03
CAC,39834,14,2.91E+03,-6.70E-03
AUX,39834,14,8.52E+02,-5.00E-04
DAX,39834,14,4.26E+03,5.00E-03
SSE,39835,14,2.00E+03,1.00E-02
CAC,39835,15,2.87E+03,-1.24E-02
DAX,39835,15,4.22E+03,-9.80E-03
N225,39839,15,7.68E+03,-8.10E-03
SSE,39836,15,1.99E+03,-7.10E-03
DJI,39836,15,8.08E+03,-5.60E-03
FTSE,39835,15,4.05E+03,-1.90E-03
GSPC,39836,15,8.32E+02,5.40E-03
HSI,39835,15,1.27E+04,5.90E-03
IXIC,39836,15,1.48E+03,8.10E-03
AUX,39835,15,8.60E+02,9.70E-03
DAX,39836,16,4.18E+03,-9.60E-03
CAC,39836,16,2.85E+03,-7.10E-03
HSI,39836,16,1.26E+04,-6.30E-03
FTSE,39836,16,4.05E+03,1.00E-04
DJI,39839,16,8.12E+03,4.80E-03
GSPC,39839,16,8.37E+02,5.60E-03
IXIC,39839,16,1.49E+03,8.20E-03
SSE,39846,16,2.01E+03,1.06E-02
AUX,39836,16,8.96E+02,4.13E-02
N225,39840,16,8.06E+03,4.93E-02
N225,39841,17,8.11E+03,5.60E-03
DJI,39840,17,8.17E+03,7.20E-03
IXIC,39840,17,1.50E+03,1.04E-02
GSPC,39840,17,8.46E+02,1.09E-02
AUX,39839,17,9.07E+02,1.21E-02
SSE,39847,17,2.06E+03,2.44E-02
DAX,39839,17,4.33E+03,3.54E-02
CAC,39839,17,2.96E+03,3.73E-02
FTSE,39839,17,4.21E+03,3.86E-02
HSI,39842,17,1.32E+04,4.58E-02
AUX,39840,18,8.99E+02,-8.40E-03
FTSE,39840,18,4.19E+03,-3.50E-03
DAX,39840,18,4.32E+03,-8.00E-04
CAC,39840,18,2.95E+03,-3.00E-04
HSI,39843,18,1.33E+04,9.40E-03
N225,39842,18,8.25E+03,1.79E-02
SSE,39848,18,2.11E+03,2.28E-02
DJI,39841,18,8.38E+03,2.46E-02
GSPC,39841,18,8.74E+02,3.36E-02
IXIC,39841,18,1.56E+03,3.55E-02
GSPC,39842,19,8.45E+02,-3.31E-02
IXIC,39842,19,1.51E+03,-3.24E-02
HSI,39846,19,1.29E+04,-3.14E-02
N225,39843,19,7.99E+03,-3.12E-02
DJI,39842,19,8.15E+03,-2.70E-02
AUX,39841,19,8.90E+02,-1.00E-02
SSE,39849,19,2.10E+03,-4.60E-03
FTSE,39841,19,4.30E+03,2.40E-02
CAC,39841,19,3.08E+03,4.11E-02
DAX,39841,19,4.52E+03,4.52E-02
FTSE,39842,20,4.19E+03,-2.45E-02
GSPC,39843,20,8.26E+02,-2.28E-02
CAC,39842,20,3.01E+03,-2.15E-02
IXIC,39843,20,1.48E+03,-2.08E-02
DAX,39842,20,4.43E+03,-2.01E-02
DJI,39843,20,8.00E+03,-1.82E-02
N225,39846,20,7.87E+03,-1.50E-02
HSI,39847,20,1.28E+04,-6.60E-03
AUX,39842,20,9.05E+02,1.62E-02
SSE,39850,20,2.18E+03,3.97E-02
DAX,39843,21,4.34E+03,-2.03E-02
CAC,39843,21,2.97E+03,-1.19E-02
FTSE,39843,21,4.15E+03,-9.70E-03
DJI,39846,21,7.94E+03,-8.00E-03
N225,39847,21,7.83E+03,-6.20E-03
GSPC,39846,21,8.25E+02,-5.00E-04
IXIC,39846,21,1.49E+03,1.22E-02
SSE,39853,21,2.22E+03,1.99E-02
HSI,39848,21,1.31E+04,2.25E-02
AUX,39843,21,9.28E+02,2.61E-02
AUX,39846,22,9.05E+02,-2.49E-02
FTSE,39846,22,4.08E+03,-1.73E-02
DAX,39846,22,4.27E+03,-1.55E-02
CAC,39846,22,2.93E+03,-1.48E-02
HSI,39849,22,1.32E+04,8.80E-03
IXIC,39847,22,1.52E+03,1.46E-02
GSPC,39847,22,8.39E+02,1.58E-02
DJI,39847,22,8.08E+03,1.78E-02
SSE,39854,22,2.27E+03,1.82E-02
N225,39848,22,8.04E+03,2.73E-02
DJI,39848,23,7.96E+03,-1.51E-02
AUX,39847,23,8.93E+02,-1.33E-02
N225,39849,23,7.95E+03,-1.11E-02
GSPC,39848,23,8.32E+02,-7.50E-03
SSE,39855,23,2.26E+03,-1.90E-03
IXIC,39848,23,1.52E+03,-8.00E-04
CAC,39847,23,2.98E+03,1.79E-02
FTSE,39847,23,4.16E+03,2.13E-02
DAX,39847,23,4.37E+03,2.43E-02
HSI,39850,23,1.37E+04,3.61E-02
SSE,39856,24,2.25E+03,-5.60E-03
HSI,39853,24,1.38E+04,8.40E-03
AUX,39848,24,9.01E+02,9.40E-03
DJI,39849,24,8.06E+03,1.34E-02
FTSE,39848,24,4.23E+03,1.54E-02
N225,39850,24,8.08E+03,1.60E-02
GSPC,39849,24,8.46E+02,1.64E-02
IXIC,39849,24,1.55E+03,2.06E-02
DAX,39848,24,4.49E+03,2.69E-02
CAC,39848,24,3.07E+03,2.90E-02
N225,39853,25,7.97E+03,-1.33E-02
CAC,39849,25,3.07E+03,-9.00E-04
FTSE,39849,25,4.23E+03,1.00E-04
DAX,39849,25,4.51E+03,3.90E-03
HSI,39854,25,1.39E+04,8.10E-03
AUX,39849,25,9.14E+02,1.40E-02
GSPC,39850,25,8.69E+02,2.69E-02
DJI,39850,25,8.28E+03,2.70E-02
IXIC,39850,25,1.59E+03,2.94E-02
SSE,39857,25,2.32E+03,3.23E-02
HSI,39855,26,1.35E+04,-2.46E-02
N225,39854,26,7.95E+03,-2.90E-03
DJI,39853,26,8.27E+03,-1.20E-03
AUX,39850,26,9.13E+02,-7.00E-04
IXIC,39853,26,1.59E+03,-1.00E-04
GSPC,39853,26,8.70E+02,1.50E-03
FTSE,39850,26,4.29E+03,1.49E-02
CAC,39850,26,3.12E+03,1.84E-02
SSE,39860,26,2.39E+03,2.96E-02
DAX,39850,26,4.64E+03,2.97E-02
GSPC,39854,27,8.27E+02,-4.91E-02
DJI,39854,27,7.89E+03,-4.62E-02
IXIC,39854,27,1.52E+03,-4.20E-02
N225,39856,27,7.71E+03,-3.03E-02
SSE,39861,27,2.32E+03,-2.93E-02
HSI,39856,27,1.32E+04,-2.30E-02
AUX,39853,27,8.94E+02,-2.10E-02
FTSE,39853,27,4.31E+03,3.70E-03
CAC,39853,27,3.13E+03,3.90E-03
DAX,39853,27,4.67E+03,4.80E-03
SSE,39862,28,2.21E+03,-4.72E-02
CAC,39854,28,3.02E+03,-3.64E-02
DAX,39854,28,4.51E+03,-3.46E-02
FTSE,39854,28,4.21E+03,-2.19E-02
IXIC,39855,28,1.53E+03,3.80E-03
DJI,39855,28,7.94E+03,6.40E-03
GSPC,39855,28,8.34E+02,8.00E-03
N225,39857,28,7.78E+03,9.60E-03
AUX,39854,28,9.13E+02,2.12E-02
HSI,39857,28,1.36E+04,2.47E-02
HSI,39860,29,1.35E+04,-7.30E-03
N225,39860,29,7.75E+03,-3.80E-03
DJI,39856,29,7.93E+03,-9.00E-04
GSPC,39856,29,8.35E+02,1.70E-03
CAC,39855,29,3.03E+03,2.30E-03
FTSE,39855,29,4.23E+03,5.00E-03
DAX,39855,29,4.53E+03,5.40E-03
IXIC,39856,29,1.54E+03,7.30E-03
SSE,39863,29,2.23E+03,7.80E-03
AUX,39855,29,9.42E+02,3.21E-02
HSI,39861,30,1.29E+04,-3.79E-02
DAX,39856,30,4.41E+03,-2.70E-02
CAC,39856,30,2.96E+03,-2.09E-02
N225,39861,30,7.65E+03,-1.35E-02
DJI,39857,30,7.85E+03,-1.04E-02
GSPC,39857,30,8.27E+02,-1.00E-02
FTSE,39856,30,4.20E+03,-7.60E-03
IXIC,39857,30,1.53E+03,-4.80E-03
AUX,39856,30,9.51E+02,9.50E-03
SSE,39864,30,2.26E+03,1.54E-02
GSPC,39861,31,7.89E+02,-4.56E-02
IXIC,39861,31,1.47E+03,-4.15E-02
DJI,39861,31,7.55E+03,-3.79E-02
N225,39862,31,7.53E+03,-1.45E-02
AUX,39857,31,9.40E+02,-1.21E-02
FTSE,39857,31,4.19E+03,-3.00E-03
DAX,39857,31,4.41E+03,1.30E-03
HSI,39862,31,1.30E+04,5.50E-03
CAC,39857,31,3.00E+03,1.13E-02
SSE,39867,31,2.31E+03,1.96E-02
SSE,39868,32,2.20E+03,-4.56E-02
DAX,39861,32,4.22E+03,-4.46E-02
FTSE,39860,32,4.13E+03,-1.31E-02
CAC,39860,32,2.96E+03,-1.19E-02
IXIC,39862,32,1.47E+03,-1.80E-03
GSPC,39862,32,7.88E+02,-1.00E-03
DJI,39862,32,7.56E+03,4.00E-04
HSI,39863,32,1.30E+04,6.00E-04
N225,39863,32,7.56E+03,3.10E-03
AUX,39860,32,9.43E+02,3.70E-03
CAC,39861,33,2.88E+03,-2.94E-02
HSI,39864,33,1.27E+04,-2.49E-02
FTSE,39861,33,4.03E+03,-2.44E-02
N225,39864,33,7.42E+03,-1.87E-02
IXIC,39863,33,1.44E+03,-1.71E-02
GSPC,39863,33,7.79E+02,-1.20E-02
DJI,39863,33,7.47E+03,-1.19E-02
DAX,39862,33,4.20E+03,-2.80E-03
SSE,39869,33,2.21E+03,2.70E-03
AUX,39861,33,9.70E+02,2.81E-02
SSE,39870,34,2.12E+03,-3.87E-02
DJI,39864,34,7.37E+03,-1.34E-02
GSPC,39864,34,7.70E+02,-1.14E-02
FTSE,39862,34,4.01E+03,-6.80E-03
N225,39867,34,7.38E+03,-5.40E-03
IXIC,39864,34,1.44E+03,-1.10E-03
CAC,39862,34,2.87E+03,-4.00E-04
DAX,39863,34,4.22E+03,2.40E-03
AUX,39862,34,9.80E+02,1.07E-02
HSI,39867,34,1.32E+04,3.75E-02
DAX,39864,35,4.01E+03,-4.76E-02
IXIC,39867,35,1.39E+03,-3.71E-02
GSPC,39867,35,7.43E+02,-3.47E-02
DJI,39867,35,7.11E+03,-3.41E-02
HSI,39868,35,1.28E+04,-2.86E-02
SSE,39871,35,2.08E+03,-1.81E-02
N225,39868,35,7.27E+03,-1.46E-02
AUX,39863,35,9.74E+02,-5.90E-03
CAC,39863,35,2.87E+03,-5.00E-04
FTSE,39863,35,4.02E+03,2.90E-03
CAC,39864,36,2.75E+03,-4.25E-02
FTSE,39864,36,3.89E+03,-3.22E-02
DAX,39867,36,3.94E+03,-1.95E-02
SSE,39874,36,2.09E+03,5.10E-03
HSI,39869,36,1.30E+04,1.61E-02
AUX,39864,36,9.97E+02,2.37E-02
N225,39869,36,7.46E+03,2.65E-02
DJI,39868,36,7.35E+03,3.32E-02
IXIC,39868,36,1.44E+03,3.90E-02
GSPC,39868,36,7.73E+02,4.01E-02
IXIC,39869,37,1.43E+03,-1.14E-02
DJI,39869,37,7.27E+03,-1.09E-02
GSPC,39869,37,7.65E+02,-1.07E-02
SSE,39875,37,2.07E+03,-1.05E-02
DAX,39868,37,3.90E+03,-1.03E-02
FTSE,39867,37,3.85E+03,-9.90E-03
HSI,39870,37,1.29E+04,-8.50E-03
CAC,39867,37,2.73E+03,-8.20E-03
AUX,39867,37,9.94E+02,-3.50E-03
N225,39870,37,7.46E+03,-4.00E-04
AUX,39868,38,9.67E+02,-2.68E-02
IXIC,39870,38,1.39E+03,-2.38E-02
GSPC,39870,38,7.53E+02,-1.58E-02
DAX,39869,38,3.85E+03,-1.27E-02
DJI,39870,38,7.18E+03,-1.22E-02
FTSE,39868,38,3.82E+03,-8.90E-03
CAC,39868,38,2.71E+03,-7.30E-03
HSI,39871,38,1.28E+04,-6.50E-03
N225,39871,38,7.57E+03,1.48E-02
SSE,39876,38,2.20E+03,6.12E-02
HSI,39874,39,1.23E+04,-3.86E-02
N225,39874,39,7.28E+03,-3.81E-02
GSPC,39871,39,7.35E+02,-2.36E-02
DJI,39871,39,7.06E+03,-1.66E-02
IXIC,39871,39,1.38E+03,-9.80E-03
CAC,39869,39,2.70E+03,-4.10E-03
AUX,39869,39,9.63E+02,-4.10E-03
FTSE,39869,39,3.85E+03,8.50E-03
SSE,39877,39,2.22E+03,1.04E-02
DAX,39870,39,3.94E+03,2.51E-02
GSPC,39874,40,7.01E+02,-4.66E-02
DJI,39874,40,6.76E+03,-4.24E-02
IXIC,39874,40,1.32E+03,-3.99E-02
AUX,39870,40,9.39E+02,-2.52E-02
DAX,39871,40,3.84E+03,-2.51E-02
HSI,39875,40,1.20E+04,-2.30E-02
SSE,39878,40,2.19E+03,-1.26E-02
N225,39875,40,7.23E+03,-6.90E-03
FTSE,39870,40,3.92E+03,1.73E-02
CAC,39870,40,2.74E+03,1.78E-02
DAX,39874,41,3.71E+03,-3.48E-02
SSE,39881,41,2.12E+03,-3.39E-02
FTSE,39871,41,3.83E+03,-2.18E-02
CAC,39871,41,2.70E+03,-1.54E-02
GSPC,39875,41,6.96E+02,-6.40E-03
DJI,39875,41,6.73E+03,-5.50E-03
IXIC,39875,41,1.32E+03,-1.40E-03
AUX,39871,41,9.39E+02,0.00E+00
N225,39876,41,7.29E+03,8.50E-03
HSI,39876,41,1.23E+04,2.47E-02
FTSE,39874,42,3.63E+03,-5.33E-02
CAC,39874,42,2.58E+03,-4.48E-02
HSI,39877,42,1.22E+04,-9.70E-03
DAX,39875,42,3.69E+03,-5.20E-03
AUX,39874,42,9.37E+02,-1.60E-03
SSE,39882,42,2.16E+03,1.88E-02
N225,39877,42,7.43E+03,1.95E-02
DJI,39876,42,6.88E+03,2.23E-02
GSPC,39876,42,7.13E+02,2.38E-02
IXIC,39876,42,1.35E+03,2.48E-02
GSPC,39877,43,6.83E+02,-4.25E-02
DJI,39877,43,6.59E+03,-4.09E-02
IXIC,39877,43,1.30E+03,-4.00E-02
N225,39878,43,7.17E+03,-3.50E-02
FTSE,39875,43,3.51E+03,-3.14E-02
AUX,39875,43,9.13E+02,-2.58E-02
HSI,39878,43,1.19E+04,-2.37E-02
CAC,39875,43,2.55E+03,-1.04E-02
SSE,39883,43,2.14E+03,-9.10E-03
DAX,39876,43,3.89E+03,5.42E-02
DAX,39877,44,3.70E+03,-5.02E-02
HSI,39881,44,1.13E+04,-4.84E-02
N225,39881,44,7.09E+03,-1.21E-02
AUX,39876,44,9.05E+02,-9.00E-03
IXIC,39878,44,1.29E+03,-4.40E-03
SSE,39884,44,2.13E+03,-2.40E-03
GSPC,39878,44,6.83E+02,1.20E-03
DJI,39878,44,6.63E+03,4.90E-03
FTSE,39876,44,3.65E+03,3.81E-02
CAC,39876,44,2.68E+03,4.74E-02
CAC,39877,45,2.57E+03,-3.96E-02
FTSE,39877,45,3.53E+03,-3.18E-02
IXIC,39881,45,1.27E+03,-1.95E-02
DJI,39881,45,6.55E+03,-1.21E-02
GSPC,39881,45,6.77E+02,-1.00E-02
DAX,39878,45,3.67E+03,-7.90E-03
N225,39882,45,7.05E+03,-4.40E-03
SSE,39885,45,2.13E+03,-2.40E-03
AUX,39877,45,9.27E+02,2.44E-02
HSI,39882,45,1.17E+04,3.08E-02
CAC,39878,46,2.53E+03,-1.37E-02
FTSE,39878,46,3.53E+03,2.00E-04
DAX,39881,46,3.69E+03,7.00E-03
SSE,39888,46,2.15E+03,1.15E-02
AUX,39878,46,9.40E+02,1.40E-02
HSI,39883,46,1.19E+04,2.02E-02
N225,39883,46,7.38E+03,4.55E-02
DJI,39882,46,6.93E+03,5.80E-02
GSPC,39882,46,7.20E+02,6.37E-02
IXIC,39882,46,1.36E+03,7.07E-02
AUX,39881,47,9.16E+02,-2.53E-02
N225,39884,47,7.20E+03,-2.41E-02
CAC,39881,47,2.52E+03,-6.00E-03
