Index,Date, Dcount ,Close,Delta
DJI,41683, 30 ,16028,3.99E-03
GSPC,41683, 30 ,1830,5.81E-03
IXIC,41683, 30 ,4241,9.37E-03
FTSE,41682, 30 ,6675,3.45E-04
DAX,41682,30,9540,6.46E-03
CAC,41682,30,4306,5.18E-03
HSI,41684,30,22298,5.96E-03
N225,41689,30,14767,-5.17E-03
SSE,41689,30,2143,1.11E-02
AUX,41682, 30 ,1292,3.75E-03
DJI,41684, 31 ,16154,7.91E-03
GSPC,41684, 31 ,1839,4.81E-03
IXIC,41684, 31 ,4244,7.90E-04
FTSE,41683, 31 ,6659,-2.34E-03
DAX,41683,31,9597,5.95E-03
CAC,41683,31,4313,1.70E-03
HSI,41687,31,22536,1.05E-02
N225,41690,31,14449,-2.15E-02
SSE,41690,31,2139,-1.76E-03
AUX,41683, 31 ,1301,6.70E-03
DJI,41688, 32 ,16130,-1.49E-03
GSPC,41688, 32 ,1841,1.16E-03
IXIC,41688, 32 ,4273,6.78E-03
FTSE,41684, 32 ,6664,6.31E-04
DAX,41684,32,9662,6.84E-03
CAC,41684,32,4340,6.34E-03
HSI,41688,32,22588,2.29E-03
N225,41691,32,14866,2.88E-02
SSE,41691,32,2114,-1.17E-02
AUX,41684, 32 ,1319,1.38E-02
DJI,41689, 33 ,16041,-5.57E-03
GSPC,41689, 33 ,1829,-6.52E-03
IXIC,41689, 33 ,4238,-8.15E-03
FTSE,41687, 33 ,6736,1.09E-02
DAX,41687,33,9657,-5.84E-04
CAC,41687,33,4335,-1.15E-03
HSI,41689,33,22665,3.39E-03
N225,41694,33,14838,-1.88E-03
SSE,41694,33,2077,-1.75E-02
AUX,41687, 33 ,1329,7.61E-03
DJI,41690, 34 ,16133,5.78E-03
GSPC,41690, 34 ,1840,6.03E-03
IXIC,41690, 34 ,4268,6.98E-03
FTSE,41688, 34 ,6796,8.97E-03
DAX,41688,34,9660,3.13E-04
CAC,41688,34,4331,-1.03E-03
HSI,41690,34,22394,-1.21E-02
N225,41695,34,15052,1.44E-02
SSE,41695,34,2034,-2.05E-02
AUX,41688, 34 ,1321,-5.90E-03
DJI,41691, 35 ,16103,-1.86E-03
GSPC,41691, 35 ,1836,-1.92E-03
IXIC,41691, 35 ,4263,-9.70E-04
FTSE,41689, 35 ,6797,4.41E-05
DAX,41689,35,9660,2.80E-05
CAC,41689,35,4341,2.40E-03
HSI,41691,35,22568,7.72E-03
N225,41696,35,14971,-5.36E-03
SSE,41696,35,2041,3.46E-03
AUX,41689, 35 ,1312,-6.59E-03
DJI,41694, 36 ,16207,6.45E-03
GSPC,41694, 36 ,1848,6.19E-03
IXIC,41694, 36 ,4293,6.93E-03
FTSE,41690, 36 ,6813,2.40E-03
DAX,41690,36,9619,-4.26E-03
CAC,41690,36,4355,3.31E-03
HSI,41694,36,22389,-8.03E-03
N225,41697,36,14923,-3.20E-03
SSE,41697,36,2047,2.99E-03
AUX,41690, 36 ,1321,6.73E-03
DJI,41695, 37 ,16180,-1.70E-03
GSPC,41695, 37 ,1845,-1.35E-03
IXIC,41695, 37 ,4288,-1.25E-03
FTSE,41691, 37 ,6838,3.68E-03
DAX,41691,37,9657,3.96E-03
CAC,41691,37,4381,5.87E-03
HSI,41695,37,22317,-3.20E-03
N225,41698,37,14841,-5.50E-03
SSE,41698,37,2056,4.37E-03
AUX,41691, 37 ,1324,2.67E-03
DJI,41696, 38 ,16198,1.16E-03
GSPC,41696, 38 ,1845,2.17E-05
IXIC,41696, 38 ,4292,1.04E-03
FTSE,41694, 38 ,6866,4.07E-03
DAX,41694,38,9709,5.38E-03
CAC,41694,38,4419,8.69E-03
HSI,41696,38,22437,5.36E-03
N225,41701,38,14652,-1.27E-02
SSE,41701,38,2075,9.21E-03
AUX,41694, 38 ,1336,8.63E-03
DJI,41697, 39 ,16273,4.58E-03
GSPC,41697, 39 ,1854,4.95E-03
IXIC,41697, 39 ,4319,6.26E-03
FTSE,41695, 39 ,6831,-5.16E-03
DAX,41695,39,9699,-9.88E-04
CAC,41695,39,4415,-1.04E-03
HSI,41697,39,22828,1.71E-02
N225,41702,39,14721,4.73E-03
SSE,41702,39,2071,-1.82E-03
AUX,41695, 39 ,1341,4.09E-03
DJI,41698, 40 ,16322,3.01E-03
GSPC,41698, 40 ,1859,2.78E-03
IXIC,41698, 40 ,4308,-2.50E-03
FTSE,41696, 40 ,6799,-4.58E-03
DAX,41696,40,9662,-3.88E-03
CAC,41696,40,4397,-4.00E-03
HSI,41698,40,22837,3.84E-04
N225,41703,40,14898,1.20E-02
SSE,41703,40,2053,-8.88E-03
AUX,41696, 40 ,1331,-7.76E-03
DJI,41701, 41 ,16168,-9.42E-03
GSPC,41701, 41 ,1846,-7.38E-03
IXIC,41701, 41 ,4277,-7.15E-03
FTSE,41697, 41 ,6810,1.63E-03
DAX,41697,41,9588,-7.60E-03
CAC,41697,41,4396,-1.18E-04
HSI,41701,41,22501,-1.49E-02
N225,41704,41,15135,1.59E-02
SSE,41704,41,2060,3.17E-03
AUX,41697, 41 ,1332,5.34E-04
DJI,41702, 42 ,16396,1.41E-02
GSPC,41702, 42 ,1874,1.53E-02
IXIC,41702, 42 ,4352,1.75E-02
FTSE,41698, 42 ,6810,-8.81E-05
DAX,41698,42,9692,1.08E-02
CAC,41698,42,4408,2.66E-03
HSI,41702,42,22658,6.93E-03
N225,41705,42,15274,9.21E-03
SSE,41705,42,2058,-8.11E-04
AUX,41698, 42 ,1327,-3.63E-03
DJI,41703, 43 ,16360,-2.18E-03
GSPC,41703, 43 ,1874,-5.34E-05
IXIC,41703, 43 ,4358,1.38E-03
FTSE,41701, 43 ,6708,-1.49E-02
DAX,41701,43,9359,-3.44E-02
CAC,41701,43,4291,-2.66E-02
HSI,41703,43,22580,-3.45E-03
N225,41708,43,15120,-1.01E-02
SSE,41708,43,1999,-2.86E-02
AUX,41701, 43 ,1351,1.81E-02
DJI,41704, 44 ,16422,3.77E-03
GSPC,41704, 44 ,1877,1.72E-03
IXIC,41704, 44 ,4352,-1.34E-03
FTSE,41702, 44 ,6824,1.72E-02
DAX,41702,44,9589,2.46E-02
CAC,41702,44,4396,2.45E-02
HSI,41704,44,22703,5.43E-03
N225,41709,44,15224,6.88E-03
SSE,41709,44,2001,1.05E-03
AUX,41702, 44 ,1336,-1.06E-02
DJI,41705, 45 ,16453,1.88E-03
GSPC,41705, 45 ,1878,5.38E-04
IXIC,41705, 45 ,4336,-3.66E-03
FTSE,41703, 45 ,6775,-7.09E-03
DAX,41703,45,9542,-4.91E-03
CAC,41703,45,4391,-1.06E-03
HSI,41705,45,22660,-1.87E-03
N225,41710,45,14830,-2.59E-02
SSE,41710,45,1998,-1.73E-03
AUX,41703, 45 ,1336,-2.17E-04
DJI,41708, 46 ,16419,-2.07E-03
GSPC,41708, 46 ,1877,-4.63E-04
IXIC,41708, 46 ,4334,-4.08E-04
FTSE,41704, 46 ,6789,1.93E-03
DAX,41704,46,9543,8.91E-05
CAC,41704,46,4417,5.87E-03
HSI,41708,46,22265,-1.78E-02
N225,41711,46,14816,-9.72E-04
SSE,41711,46,2019,1.07E-02
AUX,41704, 46 ,1350,1.03E-02
DJI,41709, 47 ,16351,-4.11E-03
GSPC,41709, 47 ,1868,-5.08E-03
IXIC,41709, 47 ,4307,-6.29E-03
FTSE,41705, 47 ,6713,-1.12E-02
DAX,41705,47,9351,-2.01E-02
CAC,41705,47,4366,-1.15E-02
HSI,41709,47,22270,2.10E-04
N225,41712,47,14328,-3.30E-02
SSE,41712,47,2004,-7.32E-03
AUX,41705, 47 ,1340,-7.27E-03
DJI,41710, 48 ,16340,-6.83E-04
GSPC,41710, 48 ,1868,3.05E-04
IXIC,41710, 48 ,4323,3.75E-03
FTSE,41708, 48 ,6690,-3.46E-03
DAX,41708,48,9266,-9.12E-03
CAC,41708,48,4371,1.01E-03
HSI,41710,48,21902,-1.68E-02
N225,41715,48,14278,-3.49E-03
SSE,41715,48,2024,9.64E-03
AUX,41708, 48 ,1341,3.28E-04
DJI,41711, 49 ,16109,-1.41E-02
GSPC,41711, 49 ,1846,-1.17E-02
IXIC,41711, 49 ,4260,-1.46E-02
FTSE,41709, 49 ,6686,-5.98E-04
DAX,41709,49,9308,4.56E-03
CAC,41709,49,4350,-4.83E-03
HSI,41711,49,21756,-6.70E-03
N225,41718,49,14224,-3.74E-03
SSE,41716,49,2025,7.56E-04
AUX,41709, 49 ,1348,5.33E-03
DJI,41712, 50 ,16066,-2.68E-03
GSPC,41712, 50 ,1841,-2.82E-03
IXIC,41712, 50 ,4245,-3.53E-03
FTSE,41710, 50 ,6621,-9.66E-03
DAX,41710,50,9189,-1.28E-02
CAC,41710,50,4306,-9.99E-03
HSI,41712,50,21539,-1.01E-02
N225,41722,50,14475,1.77E-02
SSE,41717,50,2022,-1.71E-03
AUX,41710, 50 ,1366,1.39E-02
DJI,41715, 51 ,16247,1.13E-02
GSPC,41715, 51 ,1859,9.61E-03
IXIC,41715, 51 ,4280,8.14E-03
FTSE,41711, 51 ,6554,-1.01E-02
DAX,41711,51,9018,-1.86E-02
CAC,41711,51,4251,-1.29E-02
HSI,41715,51,21474,-3.05E-03
N225,41723,51,14423,-3.60E-03
SSE,41718,51,1993,-1.40E-02
AUX,41711, 51 ,1373,5.21E-03
DJI,41716, 52 ,16336,5.48E-03
GSPC,41716, 52 ,1872,7.22E-03
IXIC,41716, 52 ,4333,1.25E-02
FTSE,41712, 52 ,6528,-3.95E-03
DAX,41712,52,9056,4.28E-03
CAC,41712,52,4216,-8.03E-03
HSI,41716,52,21584,5.08E-03
N225,41724,52,14477,3.74E-03
SSE,41719,52,2048,2.72E-02
AUX,41712, 52 ,1383,7.11E-03
DJI,41717, 53 ,16222,-6.98E-03
GSPC,41717, 53 ,1861,-6.13E-03
IXIC,41717, 53 ,4308,-5.93E-03
FTSE,41715, 53 ,6568,6.20E-03
DAX,41715,53,9181,1.37E-02
CAC,41715,53,4272,1.32E-02
HSI,41717,53,21569,-6.87E-04
N225,41725,53,14623,1.01E-02
SSE,41722,53,2066,9.11E-03
AUX,41715, 53 ,1367,-1.20E-02
DJI,41718, 54 ,16331,6.71E-03
GSPC,41718, 54 ,1872,6.04E-03
IXIC,41718, 54 ,4319,2.71E-03
FTSE,41716, 54 ,6605,5.62E-03
DAX,41716,54,9243,6.72E-03
CAC,41716,54,4313,9.67E-03
HSI,41718,54,21182,-1.82E-02
N225,41726,54,14696,5.00E-03
SSE,41723,54,2067,4.98E-04
AUX,41716, 54 ,1356,-7.53E-03
DJI,41719, 55 ,16303,-1.73E-03
GSPC,41719, 55 ,1867,-2.93E-03
IXIC,41719, 55 ,4277,-9.84E-03
FTSE,41717, 55 ,6573,-4.87E-03
DAX,41717,55,9277,3.73E-03
CAC,41717,55,4308,-1.21E-03
HSI,41719,55,21437,1.19E-02
N225,41729,55,14828,8.97E-03
SSE,41724,55,2064,-1.76E-03
AUX,41717, 55 ,1328,-2.05E-02
DJI,41722, 56 ,16277,-1.60E-03
GSPC,41722, 56 ,1857,-4.86E-03
IXIC,41722, 56 ,4226,-1.18E-02
FTSE,41718, 56 ,6542,-4.67E-03
DAX,41718,56,9296,2.06E-03
CAC,41718,56,4328,4.61E-03
HSI,41722,56,21846,1.88E-02
N225,41730,56,14792,-2.42E-03
SSE,41725,56,2047,-8.28E-03
AUX,41718, 56 ,1331,2.02E-03
DJI,41723, 57 ,16368,5.60E-03
GSPC,41723, 57 ,1866,4.40E-03
IXIC,41723, 57 ,4234,1.86E-03
FTSE,41719, 57 ,6557,2.26E-03
DAX,41719,57,9343,5.04E-03
CAC,41719,57,4335,1.70E-03
HSI,41723,57,21732,-5.25E-03
N225,41731,57,14946,1.04E-02
SSE,41726,57,2042,-2.38E-03
AUX,41719, 57 ,1335,2.57E-03
DJI,41724, 58 ,16269,-6.04E-03
GSPC,41724, 58 ,1853,-7.00E-03
IXIC,41724, 58 ,4174,-1.43E-02
FTSE,41722, 58 ,6520,-5.61E-03
DAX,41722,58,9189,-1.65E-02
CAC,41722,58,4276,-1.36E-02
HSI,41724,58,21888,7.10E-03
N225,41732,58,15072,8.40E-03
SSE,41729,58,2033,-4.11E-03
AUX,41722, 58 ,1311,-1.74E-02
DJI,41725, 59 ,16264,-2.93E-04
GSPC,41725, 59 ,1849,-1.90E-03
IXIC,41725, 59 ,4151,-5.36E-03
FTSE,41723, 59 ,6605,1.30E-02
DAX,41723,59,9338,1.63E-02
CAC,41723,59,4344,1.59E-02
HSI,41725,59,21834,-2.44E-03
N225,41733,59,15064,-5.38E-04
SSE,41730,59,2047,6.96E-03
AUX,41723, 59 ,1310,-1.08E-03
DJI,41726, 60 ,16323,3.62E-03
GSPC,41726, 60 ,1858,4.64E-03
IXIC,41726, 60 ,4156,1.09E-03
FTSE,41724, 60 ,6605,6.06E-05
DAX,41724,60,9449,1.18E-02
CAC,41724,60,4385,9.44E-03
HSI,41726,60,22066,1.05E-02
N225,41736,60,14809,-1.69E-02
