Index,Date, Dcount ,Close,Delta
SSE,41743,67,2132,4.69E-04
AUX,41733, 67 ,1303,1.40E-02
DJI,41738, 68 ,16437,1.11E-02
GSPC,41738, 68 ,1872,1.09E-02
IXIC,41738, 68 ,4184,1.72E-02
FTSE,41736, 68 ,6623,-1.09E-02
DAX,41736,68,9511,-1.91E-02
CAC,41736,68,4436,-1.08E-02
HSI,41738,68,22843,1.08E-02
N225,41746,68,14418,-1.04E-05
SSE,41744,68,2102,-1.40E-02
AUX,41736, 68 ,1299,-3.51E-03
DJI,41739, 69 ,16170,-1.62E-02
GSPC,41739, 69 ,1833,-2.09E-02
IXIC,41739, 69 ,4054,-3.10E-02
FTSE,41737, 69 ,6591,-4.85E-03
DAX,41737,69,9491,-2.11E-03
CAC,41737,69,4425,-2.54E-03
HSI,41739,69,23187,1.48E-02
N225,41747,69,14516,6.85E-03
SSE,41745,69,2105,1.67E-03
AUX,41737, 69 ,1310,8.71E-03
DJI,41740, 70 ,16027,-8.87E-03
GSPC,41740, 70 ,1816,-9.49E-03
IXIC,41740, 70 ,4000,-1.34E-02
FTSE,41738, 70 ,6636,6.81E-03
DAX,41738,70,9506,1.64E-03
CAC,41738,70,4443,4.03E-03
HSI,41740,70,23004,-7.97E-03
N225,41750,70,14512,-2.68E-04
SSE,41746,70,2099,-2.96E-03
AUX,41738, 70 ,1311,9.70E-04
DJI,41743, 71 ,16173,9.14E-03
GSPC,41743, 71 ,1831,8.22E-03
IXIC,41743, 71 ,4023,5.74E-03
FTSE,41739, 71 ,6642,9.64E-04
DAX,41739,71,9455,-5.45E-03
CAC,41739,71,4413,-6.57E-03
HSI,41743,71,23039,1.53E-03
N225,41751,71,14389,-8.52E-03
SSE,41747,71,2098,-5.43E-04
AUX,41739, 71 ,1318,5.41E-03
DJI,41744, 72 ,16263,5.52E-03
GSPC,41744, 72 ,1843,6.76E-03
IXIC,41744, 72 ,4034,2.85E-03
FTSE,41740, 72 ,6562,-1.21E-02
DAX,41740,72,9315,-1.47E-02
CAC,41740,72,4366,-1.08E-02
HSI,41744,72,22671,-1.62E-02
N225,41752,72,14546,1.09E-02
SSE,41750,72,2066,-1.52E-02
AUX,41740, 72 ,1318,7.59E-05
DJI,41745, 73 ,16425,9.98E-03
GSPC,41745, 73 ,1862,1.05E-02
IXIC,41745, 73 ,4086,1.29E-02
FTSE,41743, 73 ,6584,3.37E-03
DAX,41743,73,9339,2.56E-03
CAC,41743,73,4385,4.28E-03
HSI,41745,73,22696,1.09E-03
N225,41753,73,14405,-9.71E-03
SSE,41751,73,2073,3.39E-03
AUX,41743, 73 ,1326,5.60E-03
DJI,41746, 74 ,16409,-9.93E-04
GSPC,41746, 74 ,1865,1.36E-03
IXIC,41746, 74 ,4096,2.27E-03
FTSE,41744, 74 ,6542,-6.41E-03
DAX,41744,74,9174,-1.77E-02
CAC,41744,74,4345,-8.94E-03
HSI,41746,74,22760,2.82E-03
N225,41754,74,14429,1.68E-03
SSE,41752,74,2067,-2.63E-03
AUX,41744, 74 ,1303,-1.73E-02
DJI,41750, 75 ,16449,2.48E-03
GSPC,41750, 75 ,1872,3.78E-03
IXIC,41750, 75 ,4122,6.36E-03
FTSE,41745, 75 ,6584,6.51E-03
DAX,41745,75,9318,1.57E-02
CAC,41745,75,4406,1.39E-02
HSI,41751,75,22731,-1.30E-03
N225,41757,75,14288,-9.77E-03
SSE,41753,75,2057,-5.01E-03
AUX,41745, 75 ,1304,7.14E-04
DJI,41751, 76 ,16514,3.96E-03
GSPC,41751, 76 ,1880,4.09E-03
IXIC,41751, 76 ,4161,9.68E-03
FTSE,41746, 76 ,6625,6.24E-03
DAX,41746,76,9410,9.86E-03
CAC,41746,76,4432,5.94E-03
HSI,41752,76,22510,-9.82E-03
N225,41759,76,14304,1.11E-03
SSE,41754,76,2037,-9.97E-03
AUX,41746, 76 ,1296,-6.29E-03
DJI,41752, 77 ,16502,-7.70E-04
GSPC,41752, 77 ,1875,-2.21E-03
IXIC,41752, 77 ,4127,-8.29E-03
FTSE,41751, 77 ,6682,8.53E-03
DAX,41751,77,9600,2.02E-02
CAC,41751,77,4484,1.18E-02
HSI,41753,77,22563,2.36E-03
N225,41760,77,14485,1.27E-02
SSE,41757,77,2003,-1.62E-02
AUX,41750, 77 ,1290,-4.50E-03
DJI,41753, 78 ,16502,0.00E+00
GSPC,41753, 78 ,1879,1.72E-03
IXIC,41753, 78 ,4148,5.18E-03
FTSE,41752, 78 ,6675,-1.06E-03
DAX,41752,78,9544,-5.82E-03
CAC,41752,78,4451,-7.39E-03
HSI,41754,78,22224,-1.53E-02
N225,41761,78,14458,-1.91E-03
SSE,41758,78,2020,8.41E-03
AUX,41751, 78 ,1285,-3.77E-03
DJI,41754, 79 ,16361,-8.50E-03
GSPC,41754, 79 ,1863,-8.10E-03
IXIC,41754, 79 ,4076,-1.75E-02
FTSE,41753, 79 ,6703,4.24E-03
DAX,41753,79,9549,4.70E-04
CAC,41753,79,4480,6.39E-03
HSI,41757,79,22133,-4.11E-03
SSE,41759,79,2026,2.98E-03
AUX,41752, 79 ,1284,-5.76E-04
DJI,41757, 80 ,16449,5.33E-03
GSPC,41757, 80 ,1869,3.24E-03
IXIC,41757, 80 ,4074,-2.85E-04
FTSE,41754, 80 ,6686,-2.58E-03
DAX,41754,80,9402,-1.54E-02
CAC,41754,80,4444,-8.02E-03
HSI,41758,80,22454,1.43E-02
AUX,41753, 80 ,1292,5.82E-03
DJI,41758, 81 ,16535,5.27E-03
GSPC,41758, 81 ,1878,4.76E-03
IXIC,41758, 81 ,4104,7.15E-03
FTSE,41757, 81 ,6700,2.17E-03
DAX,41757,81,9446,4.77E-03
CAC,41757,81,4461,3.80E-03
HSI,41759,81,22134,-1.45E-02
AUX,41754, 81 ,1303,8.98E-03
DJI,41759, 82 ,16581,2.75E-03
GSPC,41759, 82 ,1884,2.99E-03
IXIC,41759, 82 ,4115,2.69E-03
FTSE,41758, 82 ,6770,1.04E-02
DAX,41758,82,9584,1.46E-02
CAC,41758,82,4498,8.33E-03
HSI,41761,82,22261,5.69E-03
AUX,41757, 82 ,1297,-5.06E-03
DJI,41760, 83 ,16559,-1.33E-03
GSPC,41760, 83 ,1884,-1.43E-04
IXIC,41760, 83 ,4127,3.13E-03
FTSE,41759, 83 ,6780,1.49E-03
DAX,41759,83,9603,1.99E-03
CAC,41759,83,4487,-2.29E-03
AUX,41758, 83 ,1296,-3.78E-04
GSPC,41761, 84 ,1881,-1.35E-03
IXIC,41761, 84 ,4124,-8.60E-04
FTSE,41760, 84 ,6809,4.26E-03
DAX,41761,84,9556,-4.92E-03
CAC,41761,84,4458,-6.51E-03
AUX,41759, 84 ,1292,-3.42E-03
FTSE,41761, 85 ,6822,1.98E-03
AUX,41760, 85 ,1284,-5.84E-03
AUX,41761, 86 ,1300,1.20E-02
